date,Corona Virus Symptoms,isPartial
2020-01-16,0,False
2020-01-17,0,False
2020-01-18,0,False
2020-01-19,0,False
2020-01-20,0,False
2020-01-21,2,False
2020-01-22,3,False
2020-01-23,5,False
2020-01-24,12,False
2020-01-25,19,False
2020-01-26,24,False
2020-01-27,39,False
2020-01-28,35,False
2020-01-29,44,False
2020-01-30,75,False
2020-01-31,86,False
2020-02-01,43,False
2020-02-02,20,False
2020-02-03,18,False
2020-02-04,30,False
2020-02-05,31,False
2020-02-06,30,False
2020-02-07,28,False
2020-02-08,23,False
2020-02-09,23,False
2020-02-10,29,False
2020-02-11,26,False
2020-02-12,24,False
2020-02-13,23,False
2020-02-14,19,False
2020-02-15,15,False
2020-02-16,16,False
2020-02-17,16,False
2020-02-18,19,False
2020-02-19,17,False
2020-02-20,15,False
2020-02-21,12,False
2020-02-22,8,False
2020-02-23,9,False
2020-02-24,12,False
2020-02-25,23,False
2020-02-26,29,False
2020-02-27,33,False
2020-02-28,35,False
2020-02-29,36,False
2020-03-01,24,False
2020-03-02,33,False
2020-03-03,38,False
2020-03-04,41,False
2020-03-05,46,False
2020-03-06,38,False
2020-03-07,34,False
2020-03-08,29,False
2020-03-09,39,False
2020-03-10,42,False
2020-03-11,52,False
2020-03-12,92,False
2020-03-13,88,False
2020-03-14,74,False
2020-03-15,70,False
2020-03-16,77,False
2020-03-17,69,False
2020-03-18,64,False
2020-03-19,54,False
2020-03-20,55,False
2020-03-21,52,False
2020-03-22,49,False
2020-03-23,48,False
2020-03-24,59,False
2020-03-25,98,False
2020-03-26,100,False
2020-03-27,97,False
2020-03-28,95,False
2020-03-29,80,False
2020-03-30,70,False
2020-03-31,65,False
2020-04-01,64,False
2020-04-02,59,False
2020-04-03,52,False
2020-04-04,51,False
2020-04-05,46,False
2020-04-06,42,False
2020-04-07,38,False
2020-04-08,33,False
2020-04-09,28,False
2020-04-10,29,False
2020-04-11,29,False
2020-04-12,27,False
2020-04-13,24,False
